timestamp,Temperature,Humidity,Pressure
900,27.06,32.64,891.20
910,27.06,33.77,891.15
920,27.01,31.97,891.19
930,26.99,31.43,891.20
940,26.98,31.53,891.17
950,26.97,31.86,891.17
960,26.99,32.03,891.17
970,27.01,33.00,891.19
980,27.01,31.83,891.17
990,27.00,31.34,891.20
1000,26.99,31.80,891.20
1010,26.98,32.13,891.19
1020,26.98,31.54,891.20
1030,26.99,31.43,891.19
1040,26.97,33.06,891.19
1050,26.94,31.50,891.20
1060,26.93,31.63,891.18
1070,26.94,33.30,891.20
1080,26.94,32.66,891.20
1090,26.92,32.12,891.19
1100,26.92,32.77,891.16
1110,26.93,32.62,891.22
1120,26.96,32.69,891.18
1130,26.98,31.75,891.23
1140,26.98,31.46,891.18
1150,26.98,31.70,891.23
1160,26.98,32.88,891.25
1170,26.98,31.23,891.24
1180,26.95,31.78,891.21
1190,26.92,31.27,891.25
1200,26.92,31.71,891.26
1210,26.90,31.67,891.25
1220,26.90,31.74,891.24
1230,26.88,31.12,891.25
1240,26.92,32.97,891.24
1250,26.93,31.74,891.25
1260,26.93,31.47,891.23
1270,26.93,31.86,891.24
1280,26.94,32.06,891.25
1290,26.95,32.28,891.26
1300,26.93,31.27,891.23
1310,26.90,31.08,891.29
1320,27.02,32.00,891.25
1330,27.00,31.05,891.24
1340,26.42,42.42,891.65
1350,26.28,33.97,891.29
1360,26.50,33.36,891.22
1370,26.62,33.17,891.27
1380,26.66,32.67,891.26
1390,26.77,32.25,891.25
1400,26.83,32.79,891.27
1410,26.80,32.03,891.24
1420,26.82,32.67,891.24
1430,26.84,31.93,891.25
1440,26.87,31.79,891.22
1450,26.92,34.03,891.22
1460,26.93,33.04,891.20
1470,26.92,31.89,891.22
1480,26.90,31.95,891.25
1490,26.92,31.54,891.21
1500,26.98,32.55,891.23
1510,26.94,32.15,891.28
1520,26.99,32.55,891.30
1530,27.10,32.08,891.28
1540,27.08,31.62,891.27
1550,27.12,31.97,891.27
1560,27.09,32.43,891.24
1570,27.07,31.39,891.24
1580,27.06,31.05,891.25
1590,27.04,30.67,891.28
1600,27.02,31.25,891.26
1610,27.01,30.74,891.24
1620,27.02,30.65,891.27
1630,27.01,30.66,891.27
1640,27.01,30.64,891.27
1650,26.98,30.59,891.25
1660,26.92,30.65,891.25
1670,26.95,30.62,891.26
1680,26.92,30.78,891.24
1690,26.93,30.65,891.25
1700,26.93,30.65,891.24
1710,26.94,30.68,891.25
1720,26.94,30.65,891.24
1730,26.93,30.67,891.24
1740,26.93,31.03,891.25
1750,26.92,30.78,891.25
1760,26.92,30.75,891.22
1770,26.92,30.74,891.27
1780,26.90,30.79,891.25
1790,26.91,30.73,891.25
1800,26.89,31.05,891.25
1810,26.90,30.75,891.26
1820,26.89,30.78,891.21
1830,26.91,30.85,891.22
1840,26.87,30.93,891.25
1850,26.89,31.13,891.25
1860,26.88,30.85,891.24
1870,26.87,30.76,891.22
1880,26.88,30.71,891.21
1890,26.87,30.69,891.23
1900,26.87,30.67,891.26
1910,26.82,30.72,891.23
1920,26.84,30.69,891.22
1930,26.84,30.72,891.23
1940,26.84,30.70,891.23
1950,26.83,30.69,891.20
1960,26.82,30.75,891.25
1970,26.82,30.70,891.22
1980,26.81,30.71,891.26
1990,26.81,30.68,891.22
2000,26.81,30.67,891.26
2010,26.80,30.67,891.23
2020,26.79,30.71,891.27
2030,26.80,30.67,891.22
2040,26.81,30.65,891.24
2050,26.82,30.65,891.21
2060,26.81,30.67,891.25
2070,26.82,30.65,891.20
2080,26.82,30.67,891.23
2090,26.81,30.70,891.20
2100,26.81,30.64,891.19
2110,26.82,30.68,891.23
2120,26.81,30.70,891.25
2130,26.82,30.69,891.26
2140,26.83,30.63,891.22
2150,26.84,30.80,891.22
2160,26.81,30.83,891.22
2170,26.84,31.41,891.23
2180,26.88,32.68,891.25
2190,26.91,33.65,891.27
2200,26.94,33.48,891.25
2210,26.92,32.49,891.25
2220,26.94,32.72,891.23
2230,26.96,32.12,891.24
2240,26.93,30.98,891.27
2250,26.91,30.91,891.26
2260,26.92,31.00,891.23
2270,26.91,30.63,891.24
2280,26.89,30.62,891.21
2290,26.87,30.66,891.22
2300,26.85,30.69,891.27
2310,26.84,30.71,891.24
2320,26.86,30.68,891.25
2330,26.86,30.62,891.26
2340,26.87,30.59,891.24
2350,26.87,30.65,891.24
2360,26.87,30.62,891.25
2370,26.86,30.64,891.24
2380,26.84,30.65,891.25
2390,26.83,30.66,891.24
2400,26.84,30.64,891.24
2410,26.84,30.65,891.25
2420,26.83,30.67,891.25
2430,26.85,30.75,891.20
2440,26.87,32.08,891.20
2450,26.89,31.14,891.21
2460,26.96,34.02,891.22
2470,26.97,31.80,891.23
2480,27.00,31.87,891.24
2490,26.99,31.43,891.20
2500,26.98,31.24,891.23
2510,26.99,30.96,891.18
2520,27.00,30.79,891.21
2530,27.01,30.98,891.20
2540,26.99,30.54,891.23
2550,27.07,33.48,891.19
2560,27.07,32.25,891.21
2570,27.16,33.87,891.23
2580,27.25,33.55,891.23
2590,27.23,31.85,891.21
2600,27.22,31.71,891.23
2610,27.21,33.49,891.22
2620,27.19,33.12,891.21
2630,27.15,31.51,891.17
2640,27.13,30.73,891.21
2650,27.11,30.52,891.21
2660,27.12,30.39,891.23
2670,27.09,30.39,891.20
2680,27.07,30.37,891.24
2690,27.07,30.30,891.21
2700,27.05,30.37,891.22
2710,27.04,30.38,891.22
2720,27.03,30.35,891.18
2730,27.03,30.35,891.17
2740,27.02,30.39,891.19
2750,27.02,30.40,891.21
2760,27.01,30.45,891.18
2770,27.01,30.39,891.19
2780,27.00,30.67,891.22
2790,27.00,30.69,891.21
2800,26.99,30.54,891.25
2810,26.98,30.52,891.28
2820,26.97,30.57,891.22
2830,26.98,30.61,891.25
2840,26.97,30.61,891.24
2850,26.97,30.62,891.23
2860,26.97,31.16,891.23
2870,26.99,33.03,891.23
2880,26.99,31.48,891.24
2890,26.97,30.94,891.24
2900,26.97,30.72,891.22
2910,26.95,30.68,891.22
2920,26.96,30.64,891.24
2930,26.95,30.55,891.19
2940,26.96,30.55,891.19
2950,26.95,30.52,891.20
2960,26.96,30.61,891.21
2970,26.97,31.06,891.21
2980,26.97,30.60,891.21
2990,26.97,30.53,891.21
3000,26.95,30.51,891.21
3010,26.95,30.51,891.26
3020,26.93,30.51,891.22
3030,26.93,30.51,891.23
3040,26.93,30.45,891.26
3050,26.92,30.41,891.26
3060,26.91,30.50,891.18
3070,26.92,30.80,891.18
3080,27.00,32.17,891.18
3090,27.05,32.43,891.18
3100,27.12,33.81,891.14
3110,27.11,33.31,891.19
3120,27.16,31.99,891.21
3130,27.18,32.10,891.18
3140,27.15,30.97,891.22
3150,27.13,30.66,891.19
3160,27.13,30.69,891.20
3170,27.11,30.93,891.22
3180,27.08,30.84,891.18
3190,27.08,30.63,891.20
3200,27.07,31.01,891.23
3210,27.09,31.36,891.23
3220,27.08,31.09,891.22
3230,27.06,30.91,891.18
3240,26.98,30.59,891.21
3250,26.97,30.59,891.20
3260,27.00,30.57,891.16
3270,27.01,30.46,891.18
3280,26.99,30.52,891.18
3290,26.97,30.45,891.19
3300,26.94,30.44,891.19
3310,26.94,30.55,891.19
3320,26.95,30.50,891.20
3330,26.94,30.51,891.21
3340,26.95,30.48,891.19
3350,26.95,30.49,891.22
3360,26.94,30.43,891.23
3370,26.90,30.44,891.20
3380,26.90,30.45,891.21
3390,26.89,30.45,891.19
3400,26.87,30.47,891.16
3410,26.89,30.43,891.19
3420,26.90,30.45,891.20
3430,26.89,30.40,891.19
3440,26.89,30.38,891.21
3450,26.90,30.36,891.19
3460,26.90,30.37,891.21
3470,26.90,30.35,891.15
3480,26.90,30.36,891.20
3490,26.88,30.32,891.19
3500,26.88,30.36,891.15
3510,26.89,30.36,891.14
3520,26.90,30.33,891.15
3530,26.90,30.30,891.15
3540,26.90,30.32,891.14
3550,26.86,30.31,891.16
3560,26.87,30.32,891.16
3570,26.88,30.35,891.15
3580,26.87,30.35,891.20
3590,26.87,30.32,891.18
3600,26.86,30.35,891.19
3610,26.84,30.39,891.22
3620,26.81,30.37,891.19
3630,26.76,30.41,891.15
3640,26.75,30.44,891.17
3650,26.76,30.44,891.15
3660,26.74,30.44,891.15
3670,26.77,30.43,891.16
3680,26.78,30.45,891.13
3690,26.79,30.43,891.15
3700,26.79,30.36,891.18
3710,26.81,30.34,891.17
3720,26.80,30.30,891.18
3730,26.81,30.33,891.15
3740,26.82,30.30,891.13
3750,26.82,30.29,891.13
3760,26.81,30.30,891.15
3770,26.81,30.30,891.15
3780,26.81,30.29,891.16
3790,26.80,30.26,891.12
3800,26.81,30.28,891.14
3810,26.82,30.28,891.13
3820,26.78,30.21,891.12
3830,26.80,30.30,891.12
3840,26.79,30.30,891.11
3850,26.80,30.27,891.11
3860,26.80,30.26,891.13
3870,26.81,30.28,891.12
3880,26.79,30.23,891.13
3890,26.79,30.23,891.12
3900,26.75,30.24,891.13
3910,26.75,30.25,891.14
3920,26.74,30.28,891.12
3930,26.74,30.28,891.18
3940,26.76,30.25,891.13
3950,26.75,30.29,891.13
3960,26.75,30.30,891.09
3970,26.74,30.25,891.10
3980,26.76,30.26,891.12
3990,26.77,30.25,891.13
4000,26.77,30.24,891.16
4010,26.76,30.27,891.16
4020,26.78,30.23,891.16
4030,26.77,30.19,891.13
4040,26.77,30.23,891.12
4050,26.77,30.27,891.13
4060,26.78,30.20,891.14
4070,26.79,30.20,891.12
4080,26.79,30.21,891.16
4090,26.79,30.20,891.18
4100,26.78,30.20,891.11
4110,26.75,30.25,891.15
4120,26.76,30.23,891.17
4130,26.77,30.25,891.17
4140,26.77,30.27,891.15
4150,26.76,30.27,891.16
4160,26.76,30.29,891.17
4170,26.77,30.28,891.16
4180,26.77,30.27,891.15
4190,26.74,30.27,891.18
4200,26.72,30.29,891.18
4210,26.72,30.34,891.16
4220,26.73,30.30,891.16
4230,26.73,30.32,891.16
4240,26.74,30.32,891.16
4250,26.74,30.29,891.13
4260,26.75,30.29,891.16
4270,26.75,30.29,891.18
4280,26.76,30.26,891.14
4290,26.75,30.29,891.16
4300,26.75,30.29,891.13
4310,26.75,30.26,891.10
4320,26.74,30.28,891.11
4330,26.74,30.30,891.08
4340,26.75,30.30,891.09
4350,26.74,30.33,891.11
4360,26.74,30.33,891.09
4370,26.76,30.33,891.10
4380,26.76,30.32,891.11
4390,26.75,30.33,891.10
4400,26.74,30.35,891.10
4410,26.75,30.33,891.11
4420,26.73,30.35,891.09
4430,26.73,30.38,891.08
4440,26.72,30.36,891.11
4450,26.69,30.38,891.13
4460,26.69,30.39,891.12
4470,26.67,30.40,891.10
4480,26.68,30.43,891.15
4490,26.69,30.42,891.10
4500,26.69,30.45,891.13
4510,26.70,30.45,891.13
4520,26.68,30.46,891.15
4530,26.67,30.46,891.14
4540,26.68,30.48,891.13
4550,26.68,30.48,891.18
4560,26.68,30.54,891.10
4570,26.67,30.54,891.12
4580,26.67,30.52,891.12
4590,26.66,30.52,891.12
4600,26.66,30.53,891.12
4610,26.66,30.56,891.13
4620,26.67,30.53,891.11
4630,26.67,30.52,891.11
4640,26.67,30.53,891.07
4650,26.67,30.52,891.08
4660,26.67,30.56,891.09
4670,26.66,30.59,891.07
4680,26.65,30.61,891.07
4690,26.60,30.69,891.06
4700,26.62,30.67,891.11
4710,26.63,30.64,891.12
4720,26.64,30.62,891.08
4730,26.65,30.63,891.09
4740,26.65,30.67,891.09
4750,26.64,30.67,891.09
4760,26.64,30.67,891.08
4770,26.61,30.73,891.09
4780,26.58,30.76,891.13
4790,26.57,30.79,891.09
4800,26.58,30.79,891.05
4810,26.58,30.80,891.07
4820,26.55,30.86,891.11
4830,26.54,30.86,891.08
4840,26.55,30.85,891.09
4850,26.54,30.88,891.09
4860,26.55,30.84,891.10
4870,26.55,30.84,891.07
4880,26.55,30.87,891.11
4890,26.54,30.86,891.10
4900,26.55,30.86,891.11
4910,26.56,30.84,891.09
4920,26.56,30.87,891.10
4930,26.55,30.87,891.10
4940,26.52,30.96,891.08
4950,26.53,30.92,891.10
4960,26.50,30.99,891.10
4970,26.51,30.99,891.09
4980,26.51,30.98,891.10
4990,26.51,30.98,891.11
5000,26.52,30.95,891.11
5010,26.52,30.97,891.10
5020,26.53,30.96,891.11
5030,26.53,30.96,891.08
5040,26.52,30.97,891.10
5050,26.52,31.00,891.14
5060,26.51,31.03,891.11
5070,26.51,31.04,891.12
5080,26.50,31.03,891.12
5090,26.48,31.07,891.12
5100,26.43,31.16,891.10
5110,26.44,31.16,891.12
5120,26.43,31.14,891.11
5130,26.42,31.17,891.14
5140,26.43,31.16,891.11
5150,26.45,31.12,891.15
5160,26.46,31.13,891.11
5170,26.47,31.12,891.13
5180,26.46,31.17,891.11
5190,26.43,31.22,891.10
5200,26.42,31.23,891.09
5210,26.43,31.20,891.13
5220,26.42,31.23,891.10
5230,26.41,31.24,891.11
5240,26.38,31.29,891.12
5250,26.40,31.23,891.12
5260,26.39,31.30,891.13
5270,26.40,31.25,891.14
5280,26.41,31.23,891.13
5290,26.41,31.24,891.12
5300,26.41,31.20,891.09
5310,26.42,31.19,891.10
5320,26.41,31.20,891.10
5330,26.41,31.20,891.12
5340,26.38,31.25,891.12
5350,26.39,31.26,891.11
5360,26.36,31.33,891.08
5370,26.37,31.30,891.10
5380,26.37,31.30,891.07
5390,26.35,31.36,891.08
5400,26.36,31.31,891.05
5410,26.38,31.30,891.09
5420,26.38,31.27,891.08
5430,26.38,31.29,891.11
5440,26.36,31.31,891.10
5450,26.36,31.33,891.10
5460,26.36,31.32,891.11
5470,26.35,31.40,891.10
5480,26.36,31.43,891.11
5490,26.38,31.37,891.09
5500,26.36,31.42,891.10
5510,26.36,31.41,891.12
5520,26.36,31.40,891.14
5530,26.36,31.41,891.10
5540,26.37,31.39,891.12
5550,26.37,31.43,891.07
5560,26.35,31.47,891.10
5570,26.36,31.42,891.08
5580,26.35,31.45,891.09
5590,26.34,31.47,891.07
5600,26.34,31.51,891.11
5610,26.33,31.50,891.11
5620,26.31,31.53,891.06
5630,26.32,31.47,891.10
5640,26.32,31.50,891.12
5650,26.33,31.47,891.13
5660,26.34,31.44,891.14
5670,26.33,31.53,891.15
5680,26.31,31.56,891.12
5690,26.32,31.53,891.10
5700,26.32,31.55,891.07
5710,26.32,31.52,891.06
5720,26.31,31.53,891.07
5730,26.31,31.56,891.09
5740,26.31,31.55,891.12
5750,26.30,31.60,891.16
5760,26.31,31.58,891.10
5770,26.32,31.53,891.12
5780,26.33,31.52,891.08
5790,26.33,31.56,891.14
5800,26.33,31.55,891.10
5810,26.32,31.56,891.10
5820,26.30,31.62,891.11
5830,26.30,31.59,891.12
5840,26.30,31.59,891.11
5850,26.30,31.60,891.12
5860,26.30,31.60,891.11
5870,26.29,31.63,891.13
5880,26.30,31.60,891.10
5890,26.29,31.62,891.11
5900,26.27,31.66,891.10
5910,26.28,31.62,891.07
5920,26.28,31.61,891.07
5930,26.26,31.68,891.10
5940,26.27,31.66,891.11
5950,26.26,31.66,891.10
5960,26.26,31.68,891.11
5970,26.26,31.71,891.13
5980,26.26,31.69,891.08
5990,26.26,31.68,891.16
6000,26.27,31.76,891.11
6010,26.27,31.91,891.08
6020,26.27,31.90,891.12
6030,26.28,31.84,891.11
6040,26.29,31.84,891.12
6050,26.28,31.84,891.09
6060,26.28,31.82,891.14
6070,26.28,31.80,891.15
6080,26.29,31.76,891.14
6090,26.29,31.74,891.13
6100,26.29,31.75,891.12
6110,26.27,31.81,891.11
6120,26.26,31.85,891.15
6130,26.24,31.88,891.12
6140,26.23,31.87,891.13
6150,26.24,31.83,891.13
6160,26.24,31.88,891.16
6170,26.20,31.98,891.14
6180,26.19,31.98,891.17
6190,26.21,31.90,891.16
6200,26.21,31.92,891.18
6210,26.20,31.94,891.15
6220,26.20,31.93,891.12
6230,26.21,31.90,891.16
6240,26.21,31.90,891.13
6250,26.22,31.91,891.16
6260,26.22,31.87,891.14
6270,26.22,31.89,891.14
6280,26.22,31.89,891.10
6290,26.23,31.88,891.16
6300,26.22,31.94,891.16
6310,26.22,31.98,891.14
6320,26.22,31.93,891.15
6330,26.22,31.89,891.17
6340,26.23,31.91,891.14
6350,26.22,31.97,891.13
6360,26.21,31.98,891.16
6370,26.21,31.94,891.17
6380,26.19,32.00,891.14
6390,26.20,31.98,891.13
6400,26.19,32.00,891.14
6410,26.20,31.98,891.17
6420,26.20,31.95,891.13
6430,26.20,31.94,891.18
6440,26.21,31.91,891.14
6450,26.21,31.96,891.15
6460,26.18,32.02,891.16
6470,26.19,31.99,891.15
6480,26.19,32.00,891.13
6490,26.18,32.01,891.15
6500,26.19,31.95,891.14
6510,26.18,31.99,891.14
6520,26.18,32.00,891.17
6530,26.16,32.02,891.10
6540,26.17,32.00,891.13
6550,26.17,31.99,891.14
6560,26.17,31.99,891.15
6570,26.18,31.96,891.15
6580,26.17,32.00,891.14
6590,26.17,32.02,891.16
6600,26.17,32.00,891.17
6610,26.17,31.95,891.13
6620,26.17,31.95,891.16
6630,26.18,31.96,891.16
6640,26.17,32.01,891.12
6650,26.16,32.02,891.13
6660,26.16,31.97,891.16
6670,26.16,32.01,891.14
6680,26.16,31.97,891.11
6690,26.15,32.05,891.11
6700,26.15,32.05,891.10
6710,26.15,32.00,891.11
6720,26.15,31.98,891.15
6730,26.15,31.98,891.13
6740,26.14,31.98,891.14
6750,26.15,31.97,891.13
6760,26.15,31.98,891.12
6770,26.15,32.00,891.13
6780,26.15,31.98,891.12
6790,26.15,31.98,891.09
6800,26.15,32.00,891.10
6810,26.13,32.01,891.12
6820,26.15,31.98,891.09
6830,26.15,31.97,891.11
6840,26.14,32.02,891.08
6850,26.14,32.01,891.11
6860,26.14,31.98,891.08
6870,26.14,32.01,891.07
6880,26.13,32.03,891.09
6890,26.13,32.03,891.11
6900,26.12,32.08,891.12
6910,26.09,32.11,891.09
6920,26.09,32.15,891.14
6930,26.10,32.11,891.10
6940,26.07,32.12,891.14
6950,26.05,32.17,891.10
6960,26.07,32.13,891.11
6970,26.07,32.10,891.10
6980,26.08,32.11,891.12
6990,26.06,32.20,891.11
7000,26.05,32.20,891.10
7010,26.03,32.24,891.09
7020,26.04,32.19,891.07
7030,26.05,32.14,891.07
7040,26.06,32.11,891.09
7050,26.07,32.11,891.14
7060,26.07,32.27,891.06
7070,26.06,32.55,891.08
7080,26.05,32.59,891.09
7090,26.04,32.59,891.09
7100,26.06,32.55,891.13
7110,26.07,32.48,891.10
7120,26.07,32.75,891.13
7130,26.06,32.75,891.12
7140,26.07,32.68,891.08
7150,26.07,32.60,891.09
7160,26.06,32.57,891.10
7170,26.06,32.50,891.12
7180,26.09,33.30,891.11
7190,26.09,33.02,891.12
7200,26.11,32.81,891.10
7210,26.13,32.84,891.13
7220,26.14,32.70,891.10
7230,26.17,33.27,891.10
7240,26.17,33.00,891.10
7250,26.19,34.21,891.12
7260,26.19,32.96,891.13
7270,26.22,35.18,891.17
7280,26.24,33.62,891.16
7290,26.22,32.67,891.14
7300,26.21,32.78,891.13
